tip	category	k_group	max_q
Arm52	K6	K6	0.8174
TU23	Admixed	K6	0.709
Arm85	Admixed	K4	0.3905
Arm61	Admixed	K4	0.5555
Arm43	Admixed	K4	0.5543
Arm10	Admixed	K4	0.6151
GA37	Admixed	K4	0.5459
Arm81	Admixed	K6	0.6132
AZ60	K4	K4	0.7782
Arm7	Admixed	K4	0.5909
AZ49	K4	K4	0.9999
AZ23	K4	K4	0.9999
ARM90	K4	K4	0.9999
AZ69	K4	K4	0.9999
AZ34	K4	K4	0.9999
TU7	Admixed	K6	0.7424
TU52	K6	K6	0.824
TU27	K6	K6	0.8382
TU13	K6	K6	0.7595
AZ48	Admixed	K4	0.4914
TU94	K6	K6	0.841
TU75	K6	K6	0.7725
TU4	Admixed	K6	0.5325
TU63	Admixed	K6	0.5883
TU80	Admixed	K6	0.6427
Arm22	Admixed	K6	0.4044
Arm33	Admixed	K3	0.6167
Arm77	Admixed	K3	0.682
AZ24	Admixed	K4	0.6051
Arm12	Admixed	K4	0.6221
TU15	Admixed	K6	0.7182
TU92	Admixed	K6	0.7094
TU87	Admixed	K6	0.6219
TU78	K6	K6	0.8356
TU45	Admixed	K6	0.7354
TU10	Admixed	K6	0.7492
TU8	K6	K6	0.7947
TU62	K6	K6	0.8575
TU32	K6	K6	0.7574
TU6	K6	K6	0.7615
TUK-11	Admixed	K6	0.5618
TU67	K6	K6	0.8328
TU61	K6	K6	0.9818
TU24	K6	K6	0.9819
TU47	K6	K6	0.9055
TU77	K6	K6	0.8107
TU66	K6	K6	0.8069
TU57	K6	K6	0.7757
TU12	K6	K6	0.8063
TU3	K6	K6	0.8089
TU49	K6	K6	0.8838
TU43	K6	K6	0.9109
Arm70	Admixed	K4	0.3991
Arm60	Admixed	K6	0.5984
Arm31	Admixed	K6	0.5458
Arm66	Admixed	K6	0.6585
Arm51	Admixed	K6	0.6677
Arm41	Admixed	K6	0.6647
Arm25	Admixed	K6	0.4975
VA40	Admixed	K4	0.5634
VA60	Admixed	K4	0.3611
VA47	Admixed	K4	0.3595
TU59	Admixed	K6	0.6809
Arm88	Admixed	K6	0.3803
Arm83	Admixed	K6	0.4849
Arm57	Admixed	K4	0.4743
Arm5	Admixed	K4	0.4781
VA67	K4	K4	0.9999
VA68	K4	K4	0.7897
VA66	K4	K4	0.8709
VA41	Admixed	K4	0.6158
VA48	Admixed	K4	0.5791
VA71	K4	K4	0.9999
Arm59	K4	K4	0.9999
VA54	K4	K4	0.9999
TU81	K6	K6	0.7706
TU72	Admixed	K6	0.7162
TU20	Admixed	K6	0.5722
AZ46	Admixed	K6	0.4979
Arm67	Admixed	K6	0.4487
Arm95	Admixed	K6	0.4788
TU14	Admixed	K6	0.6599
Arm35	Admixed	K6	0.5259
Arm9	Admixed	K3	0.5128
Arm39	Admixed	K4	0.5343
Arm62	Admixed	K6	0.446
Arm26	Admixed	K6	0.4383
Arm44	Admixed	K6	0.5071
Arm28	Admixed	K4	0.2931
Arm47	Admixed	K6	0.5282
Arm68	Admixed	K6	0.3275
Arm18	Admixed	K6	0.5131
TU71	K6	K6	0.9392
TU70	K6	K6	0.7787
TU5	K6	K6	0.7807
TU16	Admixed	K6	0.6924
AZ61	Admixed	K6	0.5005
Arm54	K6	K6	0.8077
Arm36	K6	K6	0.9999
Arm32	K6	K6	0.9999
Arm40	K6	K6	0.9999
Arm21	K6	K6	0.9999
TU1	Admixed	K6	0.538
Arm86	Admixed	K6	0.5152
Arm78	Admixed	K6	0.5139
Arm63	Admixed	K6	0.6372
Arm56	Admixed	K6	0.6351
Arm15	K3	K3	0.9441
Arm8	Admixed	K3	0.5791
AZ44	Admixed	K3	0.5554
Arm24	Admixed	K3	0.5497
Arm16	Admixed	K6	0.4489
AZ26	K3	K3	0.9615
Arm69	Admixed	K3	0.6769
AZ28	K3	K3	0.9999
Arm42	K3	K3	0.9999
AZ40	K3	K3	0.841
Arm82	Admixed	K6	0.3549
Arm13	Admixed	K3	0.5616
AZ39	Admixed	K3	0.574
AZ32	Admixed	K3	0.4597
AZ27	Admixed	K3	0.6482
AZ29	K3	K3	0.9999
Arm64	Admixed	K3	0.5949
Arm29	K3	K3	0.9999
AZ57	K3	K3	0.9999
Arm2	K3	K3	0.9999
AZ19	Admixed	K3	0.6399
AZ67	K3	K3	0.9999
Arm79	K3	K3	0.9999
AZ50	K3	K3	0.9999
AZ20	Admixed	K3	0.6544
Arm20	Admixed	K3	0.6414
TU22	Admixed	K6	0.6919
GE26	Admixed	K2	0.5539
AZ36	Admixed	K3	0.451
AZ56	Admixed	K3	0.5621
Arm94	Admixed	K6	0.46
Arm23	Admixed	K6	0.4373
Arm72	Admixed	K6	0.5429
GE4	Admixed	K6	0.4187
Arm93	Admixed	K6	0.7044
Arm91	Admixed	K6	0.53
Arm87	Admixed	K6	0.589
Arm84	Admixed	K6	0.6128
Arm75	Admixed	K6	0.6143
GA15	Admixed	K5	0.3573
GA17	Admixed	K5	0.2942
ZZ01	Outgroup		
