FID	IID
Arm32	Arm32
Arm34	Arm34
Arm36	Arm36
Arm40	Arm40
Arm92	Arm92
Arm53	Arm53
Arm52	Arm52
Arm54	Arm54
Arm58	Arm58
Arm6	Arm6
Arm93	Arm93
Arm51	Arm51
Arm41	Arm41
Arm14	Arm14
Arm38	Arm38
Arm66	Arm66
Arm65	Arm65
Arm27	Arm27
Arm63	Arm63
Arm56	Arm56
Arm75	Arm75
Arm81	Arm81
Arm84	Arm84
Arm74	Arm74
Arm60	Arm60
Arm87	Arm87
Arm37	Arm37
Arm31	Arm31
Arm72	Arm72
Arm91	Arm91
Arm47	Arm47
Arm35	Arm35
Arm86	Arm86
Arm78	Arm78
Arm18	Arm18
Arm44	Arm44
Arm25	Arm25
Arm80	Arm80
Arm83	Arm83
Arm95	Arm95
Arm17	Arm17
Arm11	Arm11
Arm94	Arm94
Arm16	Arm16
Arm67	Arm67
Arm62	Arm62
Arm26	Arm26
Arm23	Arm23
Arm22	Arm22
Arm45	Arm45
Arm88	Arm88
Arm82	Arm82
Arm68	Arm68
AZ43	AZ43
AZ42	AZ42
TU29	TU29
AZ51	AZ51
AZ45	AZ45
AZ61	AZ61
AZ46	AZ46
AZ21	AZ21
GE38	GE38
GA43	GA43
GE22	GE22
GA42	GA42
GE4	GE4
GE16	GE16
TU11	TU11
TU18	TU18
TU21	TU21
TU46	TU46
TU24	TU24
TU61	TU61
TU71	TU71
TU43	TU43
TU39	TU39
TU47	TU47
TU2	TU2
TU49	TU49
TU62	TU62
TU30	TU30
TU94	TU94
TU82	TU82
TU27	TU27
TU78	TU78
TU67	TU67
TU91	TU91
TU52	TU52
TU77	TU77
TU3	TU3
TU66	TU66
TU12	TU12
TU8	TU8
TU5	TU5
TU60	TU60
TU70	TU70
TU69	TU69
TU57	TU57
TU75	TU75
TU81	TU81
TU6	TU6
TU13	TU13
TU32	TU32
TU10	TU10
TU7	TU7
TU17	TU17
TU45	TU45
TU15	TU15
TU72	TU72
TU92	TU92
TU23	TU23
TU28	TU28
TU16	TU16
TU22	TU22
TU59	TU59
TU14	TU14
TU56	TU56
TU54	TU54
TU84	TU84
TU80	TU80
TU33	TU33
TU87	TU87
TU88	TU88
TU48	TU48
TU63	TU63
TU20	TU20
TU36	TU36
TUK-11	TUK-11
TU1	TU1
TU4	TU4
TUF-15	TUF-15
TU93	TU93
TU53	TU53
TUG-27	TUG-27
TU97	TU97
TU85	TU85
TU50	TU50
VA19	VA19
VA20	VA20
VA30	VA30
VA42	VA42
VA65	VA65
VA76	VA76
VA77	VA77
VA17	VA17
VA18	VA18
VA29	VA29
VA75	VA75
VA72	VA72
VA74	VA74
VA64	VA64
VA73	VA73
VA1	VA1
Arm73	Arm73
VA23	VA23
VA15	VA15
VA14	VA14
VA24	VA24
VA31	VA31
VA25	VA25
VA37	VA37
Arm71	Arm71
VA36	VA36
VA32	VA32
VA22	VA22
VA2	VA2
VA39	VA39
VA26	VA26
VA35	VA35
VA38	VA38
VA34	VA34
AZ4	AZ4
AZ12	AZ12
AZ7	AZ7
AZ18	AZ18
AZ13	AZ13
AZ9	AZ9
AZ2	AZ2
AZ1	AZ1
AZ15	AZ15
AZ17	AZ17
AZ16	AZ16
AZ6	AZ6
AZ11	AZ11
AZ3	AZ3
AZ8	AZ8
AZ59	AZ59
AZ58	AZ58
AZ62	AZ62
GA14	GA14
GA18	GA18
GA3	GA3
GA13	GA13
GA16	GA16
GA5	GA5
GA7	GA7
GA20	GA20
GA4	GA4
GA2	GA2
GA19	GA19
GA8	GA8
GA11	GA11
GE12	GE12
