replicate	comparison	group_a	group_b	mean_fst	weighted_fst
4	K4_vs_K5	K4	K5	0.103610	0.148410
4	K4_vs_K6	K4	K6	0.062426	0.080207
4	K4_vs_K7	K4	K7	0.094514	0.122490
4	K5_vs_K6	K5	K6	0.070773	0.107600
4	K5_vs_K7	K5	K7	0.079070	0.113560
4	K6_vs_K7	K6	K7	0.065920	0.087911
5	K1_vs_K2	K1	K2	0.095141	0.124810
5	K1_vs_K3	K1	K3	0.140800	0.191140
5	K1_vs_K4	K1	K4	0.104970	0.132370
5	K1_vs_K5	K1	K5	0.098491	0.138400
5	K1_vs_K6	K1	K6	0.087191	0.115820
5	K1_vs_K7	K1	K7	0.082467	0.103280
5	K2_vs_K3	K2	K3	0.114700	0.162790
5	K2_vs_K4	K2	K4	0.084460	0.109210
5	K2_vs_K5	K2	K5	0.072279	0.105090
5	K2_vs_K6	K2	K6	0.057145	0.077741
5	K2_vs_K7	K2	K7	0.071836	0.093659
5	K3_vs_K4	K3	K4	0.121810	0.164420
5	K3_vs_K5	K3	K5	0.121630	0.183760
5	K3_vs_K6	K3	K6	0.079100	0.111120
5	K3_vs_K7	K3	K7	0.120820	0.166650
5	K4_vs_K5	K4	K5	0.103250	0.147210
5	K4_vs_K6	K4	K6	0.060904	0.077627
5	K4_vs_K7	K4	K7	0.095610	0.122820
5	K5_vs_K6	K5	K6	0.070896	0.107020
5	K5_vs_K7	K5	K7	0.077617	0.109900
5	K6_vs_K7	K6	K7	0.065956	0.087015
6	K1_vs_K2	K1	K2	0.093502	0.121430
6	K1_vs_K3	K1	K3	0.137220	0.183120
6	K1_vs_K4	K1	K4	0.104200	0.130200
6	K1_vs_K5	K1	K5	0.096253	0.133130
6	K1_vs_K6	K1	K6	0.086874	0.114930
6	K1_vs_K7	K1	K7	0.083269	0.104670
6	K2_vs_K3	K2	K3	0.110420	0.155010
6	K2_vs_K4	K2	K4	0.083376	0.107830
6	K2_vs_K5	K2	K5	0.070147	0.101700
6	K2_vs_K6	K2	K6	0.055787	0.076114
6	K2_vs_K7	K2	K7	0.072416	0.095554
6	K3_vs_K4	K3	K4	0.118920	0.158700
6	K3_vs_K5	K3	K5	0.116830	0.173650
6	K3_vs_K6	K3	K6	0.076298	0.106180
6	K3_vs_K7	K3	K7	0.119360	0.164240
6	K4_vs_K5	K4	K5	0.101550	0.143660
6	K4_vs_K6	K4	K6	0.062159	0.079657
6	K4_vs_K7	K4	K7	0.097065	0.126100
6	K5_vs_K6	K5	K6	0.071314	0.107420
6	K5_vs_K7	K5	K7	0.078190	0.111180
6	K6_vs_K7	K6	K7	0.070415	0.095341
7	K1_vs_K2	K1	K2	0.092896	0.119580
7	K1_vs_K3	K1	K3	0.136550	0.181920
7	K1_vs_K4	K1	K4	0.103740	0.129220
7	K1_vs_K5	K1	K5	0.090488	0.123120
7	K1_vs_K6	K1	K6	0.083124	0.109050
7	K1_vs_K7	K1	K7	0.080216	0.100810
7	K2_vs_K3	K2	K3	0.111300	0.155980
7	K2_vs_K4	K2	K4	0.083629	0.107530
7	K2_vs_K5	K2	K5	0.066886	0.094629
7	K2_vs_K6	K2	K6	0.053957	0.072206
7	K2_vs_K7	K2	K7	0.071143	0.093432
7	K3_vs_K4	K3	K4	0.118950	0.158930
7	K3_vs_K5	K3	K5	0.113260	0.166460
7	K3_vs_K6	K3	K6	0.075325	0.104730
7	K3_vs_K7	K3	K7	0.117450	0.161880
7	K4_vs_K5	K4	K5	0.096761	0.134580
7	K4_vs_K6	K4	K6	0.060170	0.076651
7	K4_vs_K7	K4	K7	0.094666	0.122950
7	K5_vs_K6	K5	K6	0.062907	0.093156
7	K5_vs_K7	K5	K7	0.073416	0.102680
7	K6_vs_K7	K6	K7	0.065202	0.087668
8	K1_vs_K2	K1	K2	0.095920	0.126120
8	K1_vs_K3	K1	K3	0.145790	0.196630
8	K1_vs_K4	K1	K4	0.106760	0.135410
8	K1_vs_K5	K1	K5	0.099793	0.140840
8	K1_vs_K6	K1	K6	0.089623	0.120400
8	K1_vs_K7	K1	K7	0.085483	0.109590
8	K2_vs_K3	K2	K3	0.115060	0.161080
8	K2_vs_K4	K2	K4	0.081505	0.104800
8	K2_vs_K5	K2	K5	0.069837	0.101290
8	K2_vs_K6	K2	K6	0.054004	0.072195
8	K2_vs_K7	K2	K7	0.071078	0.092805
8	K3_vs_K4	K3	K4	0.124760	0.166710
8	K3_vs_K5	K3	K5	0.122290	0.183290
8	K3_vs_K6	K3	K6	0.081234	0.113510
8	K3_vs_K7	K3	K7	0.123610	0.170490
8	K4_vs_K5	K4	K5	0.102700	0.146130
8	K4_vs_K6	K4	K6	0.060899	0.077746
8	K4_vs_K7	K4	K7	0.094911	0.123050
8	K5_vs_K6	K5	K6	0.071421	0.107960
8	K5_vs_K7	K5	K7	0.078340	0.111660
8	K6_vs_K7	K6	K7	0.068075	0.091265
9	K1_vs_K2	K1	K2	0.097377	0.122890
9	K1_vs_K3	K1	K3	0.138690	0.184640
9	K1_vs_K4	K1	K4	0.103940	0.128100
9	K1_vs_K5	K1	K5	0.094502	0.130050
9	K1_vs_K6	K1	K6	0.088060	0.115150
9	K1_vs_K7	K1	K7	0.080590	0.098897
9	K2_vs_K3	K2	K3	0.116690	0.163600
9	K2_vs_K4	K2	K4	0.087279	0.111230
9	K2_vs_K5	K2	K5	0.072463	0.104100
9	K2_vs_K6	K2	K6	0.060586	0.081472
9	K2_vs_K7	K2	K7	0.075417	0.097558
9	K3_vs_K4	K3	K4	0.121050	0.163590
9	K3_vs_K5	K3	K5	0.118820	0.179820
9	K3_vs_K6	K3	K6	0.081765	0.115870
9	K3_vs_K7	K3	K7	0.118970	0.164760
9	K4_vs_K5	K4	K5	0.101650	0.144760
9	K4_vs_K6	K4	K6	0.065683	0.085173
9	K4_vs_K7	K4	K7	0.095184	0.122480
9	K5_vs_K6	K5	K6	0.074120	0.113170
9	K5_vs_K7	K5	K7	0.076380	0.108480
9	K6_vs_K7	K6	K7	0.068811	0.092910
10	K1_vs_K2	K1	K2	0.096729	0.122930
10	K1_vs_K3	K1	K3	0.144070	0.190800
10	K1_vs_K4	K1	K4	0.108090	0.132330
10	K1_vs_K5	K1	K5	0.094721	0.128720
10	K1_vs_K6	K1	K6	0.091436	0.118030
10	K1_vs_K7	K1	K7	0.085298	0.105330
10	K2_vs_K3	K2	K3	0.113580	0.161520
10	K2_vs_K4	K2	K4	0.084308	0.109020
10	K2_vs_K5	K2	K5	0.065049	0.093913
10	K2_vs_K6	K2	K6	0.056026	0.076003
10	K2_vs_K7	K2	K7	0.072736	0.096147
10	K3_vs_K4	K3	K4	0.121810	0.164420
10	K3_vs_K5	K3	K5	0.115310	0.173540
10	K3_vs_K6	K3	K6	0.082582	0.116110
10	K3_vs_K7	K3	K7	0.120900	0.168540
10	K4_vs_K5	K4	K5	0.096884	0.136360
10	K4_vs_K6	K4	K6	0.063591	0.081623
10	K4_vs_K7	K4	K7	0.094804	0.123090
10	K5_vs_K6	K5	K6	0.065188	0.097519
10	K5_vs_K7	K5	K7	0.073802	0.104490
10	K6_vs_K7	K6	K7	0.067996	0.091146
